FID,OBJECTID,Id,categ,pend_porc,Fuente,id_pend,COD_COB25_,NOM_COB25,SIM_COB25,GEOLOGIA_1,GEOLOGIA_2,LATITUD_Y,LONGITUD_X,Elevacion,Pendiente,NOMBRE,CODIGO,DATO_ID,FECHA1,FECHA2,CONCAT,Long,Lat,ESTACIÓN,P_24H__mm_,P_3DIAS__m,P_7DIAS__m,P_10DIAS__,P15DIAS__m,P30DIAS__m,P60DIAS__m,P90DIAS__m
0,1,7,Amenaza baja,0 a 3%,"DAPM, curvas de nivel cada 10m",1,41120,Ríos,RIO,Qca2(RPan),Cono aluvial 2 rio Pance,3.322483286,-76.55149463,1027.87439,18.60763741,LA RIVERITA,2622310103,1,2/28/2018 0:00,2/28/2018 0:00,2/28/2018LA RIVERITA,-76.55149463,3.322483286,LA RIVERITA,0,0,22.9,44.4,73.5,309.6,504.4,619.9
1,2,7,Amenaza baja,0 a 3%,"DAPM, curvas de nivel cada 10m",1,23171,Pasto cultivado arbolado,PCUAR,Kv,Formacion Volcanica,3.449622047,-76.56617727,1070.66626,16.97060204,CALI - BOCATOMA,2622400106,2,2/9/2016 0:00,2/9/2016 0:00,2/9/2016CALI - BOCATOMA,-76.56617727,3.449622047,CALI - BOCATOMA,0,0,0.6,0.6,3.4,35.4,57.2,155.4
2,3,7,Amenaza baja,0 a 3%,"DAPM, curvas de nivel cada 10m",1,32211,Arbustal y matorral abierto bajo de tierra firme,ABAFBA,TQj,Formacion Jamundi,3.321914951,-76.55314365,1022.747253,11.76323891,LA RIVERITA,2622310103,3,2/25/2018 0:00,2/25/2018 0:00,2/25/2018LA RIVERITA,-76.55314365,3.321914951,LA RIVERITA,0,1,44.4,47.6,100.7,303.7,508.1,622.3
3,4,7,Amenaza baja,14-25%,"DAPM, curvas de nivel cada 10m",4,23170,Pasto cultivado,PCU,TQj,Formacion Jamundi,3.302183942,-76.56352768,1058.497437,27.95201874,JAMUNDI,2622100202,4,2/7/2018 0:00,2/7/2018 0:00,2/7/2018EL PALACIO,-76.56352768,3.302183942,EL PALACIO,0,0,5,10,14,82,211,539
4,5,7,Amenaza baja,0 a 3%,"DAPM, curvas de nivel cada 10m",1,31311,Bosque mixto fragmentado con pastos y cultivos,BNFPNC,Qca1(RPan),Cono aluvial 1 rio Pance,3.361823615,-76.54941008,1012.649475,24.8802948,LA RIVERITA,2622310103,5,8/11/2017 0:00,8/11/2017 0:00,8/11/2017LA RIVERITA,-76.54941008,3.361823615,LA RIVERITA,2,31,31.4,31.4,31.4,84.5,156.5,271.2
5,6,7,Amenaza baja,14-25%,"DAPM, curvas de nivel cada 10m",4,11111,Zonas urbanas continuas,ZUC,Kv,Formacion Volcanica,3.446875299,-76.54078611,1034.65564,7.418504238,PLANTA RIO CALI,2622400103,6,3/25/2023 0:00,3/25/2023 0:00,3/25/2023PLANTA RIO CALI,-76.54078611,3.446875299,PLANTA RIO CALI,0,11,15.3,17.8,39.4,141,218.1,294.9
6,7,7,Amenaza baja,0 a 3%,"DAPM, curvas de nivel cada 10m",1,11111,Zonas urbanas continuas,ZUC,Kv,Formacion Volcanica,3.452328489,-76.55088692,1029.619263,4.604764938,EL ANCLA,2622420106,7,1/21/2019 0:00,1/21/2019 0:00,1/21/2019EL ANCLA,-76.55088692,3.452328489,EL ANCLA,0,0,21.3,21.3,21.3,84.6,417.5,622.5
7,8,7,Amenaza baja,14-25%,"DAPM, curvas de nivel cada 10m",4,32211,Arbustal y matorral abierto bajo de tierra firme,ABAFBA,TQj,Formacion Jamundi,3.304113285,-76.56989703,1038.599487,28.27173233,JAMUNDI,2622100202,8,1/28/2015 0:00,1/28/2015 0:00,1/28/2015EL PALACIO,-76.56989703,3.304113285,EL PALACIO,12,12,27,74,134,153,234,394
8,9,7,Amenaza baja,0 a 3%,"DAPM, curvas de nivel cada 10m",1,23172,Pasto cultivado enmalezado,PCURA,TQj,Formacion Jamundi,3.311331906,-76.56060283,1083.788818,14.13458633,EL PALACIO,2622100102,9,1/19/2018 0:00,1/19/2018 0:00,1/19/2018EL PALACIO,-76.56060283,3.311331906,EL PALACIO,0,4,32,62,85,188,281,566
9,10,7,Amenaza baja,14-25%,"DAPM, curvas de nivel cada 10m",4,31112,Bosque mixto denso bajo de tierra firme,BNDBAJ,TQj,Formacion Jamundi,3.312314051,-76.57207407,1099.497681,63.93966675,PANCE - CHORRERA,2622110103,10,1/3/2016 0:00,1/3/2016 0:00,1/3/2016PANCE - CHORRERA,-76.57207407,3.312314051,PANCE - CHORRERA,1,4,4.4,4.4,4.6,31.4,294.2,310.6
10,11,7,Amenaza baja,0 a 3%,"DAPM, curvas de nivel cada 10m",1,23172,Pasto cultivado enmalezado,PCURA,Qca2(RPan),Cono aluvial 2 rio Pance,3.312796932,-76.54523325,1002.927063,6.937963963,EL PALACIO,2622100102,11,1/3/2018 0:00,1/3/2018 0:00,1/3/2018EL PALACIO,-76.54523325,3.312796932,EL PALACIO,0,3,66,89,103,114,445,503
11,12,4,Riesgo bajo,14-25%,"DAPM, curvas de nivel cada 10m",4,11111,Zonas urbanas continuas,ZUC,Kv,Formacion Volcanica,3.411655951,-76.56388681,984.0561523,11.05988693,IDEAS,2622330111,12,8/10/2016 0:00,8/10/2016 0:00,8/10/2016IDEAS,-76.56388681,3.411655951,IDEAS,0,0,1.2,1.2,23.4,25.4,115.5,265.4
12,13,4,Riesgo bajo,0 a 3%,"DAPM, curvas de nivel cada 10m",1,12111,Otras superficies artificiales con construcción,OICC,Qca(RMel),Cono aluvial rio Melendez,3.388050019,-76.55261171,977.6377563,29.26873589,NAPOLES,2622330108,13,2/6/2019 0:00,2/6/2019 0:00,2/6/2019NAPOLES,-76.55261171,3.388050019,NAPOLES,0,0,10.1,10.1,32.6,71.9,54.3,308.3
13,14,4,Riesgo bajo,14-25%,"DAPM, curvas de nivel cada 10m",4,11111,Zonas urbanas continuas,ZUC,Kv,Formacion Volcanica,3.47263319,-76.55520681,1186.78186,31.21404457,EL COLEGIO,2622420105,14,1/21/2016 0:00,1/21/2016 0:00,1/21/2016EL COLEGIO,-76.55520681,3.47263319,EL COLEGIO,0,0,0,0,2,10.7,27.5,194.4
