FID,OBJECTID,MM2_DATO_I,MM2_FECHA_,MM2_DIRECC,MM2_BARRIO,MM2_RURAL,MM2_Long,MM2_Lat,MM2_NOMBRE,MM2_CODIGO,cruce_dato,Elevacion,Pendiente,COD_COB25_,NOM_COB25,SIM_COB25,Id_Riesgo,categ_Ries,GEOLOGIA_1,GEOLOGIA_2,DATO_ID,FUENTE,SOLICITUD,FECHA EVENTO,FECHA EVENTO,DIRECCION,BARRIO_VER,RURAL,Long,Lat,ESTACIÓN,CATEGORIA,ENTIDAD,FECHA_INIC,CODIGO,X,Y,P_24H,P_3DIAS,P_7DIAS,P_10DIAS,P15DIAS,P30DIAS,P60DIAS,P90DIAS
0,1,MM0055,10/6/2020,Puente Azul,Aguacatal,N/A,-76.56652,3.45609,CALI - BOCATOMA,2622400106,MM0055,1071.533325,18.85442352,11111,Zonas urbanas continuas,ZUC,4,Riesgo bajo,Kv,Formacion Volcanica,MM0055,BD_SGRED,OPERATIVO,10/6/2020 0:00,10/6/2020CALI - BOCATOMA,Puente Azul,Aguacatal,N/A,-7656652,345609,CALI - BOCATOMA,PG,CVC,9/15/2012,2622400106,1056592.88,873178.34,5.4,6,62.8,67,68.2,88.4,87.2,110
1,2,MM0060,10/23/2020,C 5C Oeste No 47-12,Siloe,N/A,-76.556192,3.421738,LOS CRISTALES,2622330105,MM0060,1066.793579,54.22733688,11111,Zonas urbanas continuas,ZUC,1,Riesgo alto,Kv,Formacion Volcanica,MM0060,BD_SGRED,OPERATIVO,10/23/2020 0:00,10/23/2020LOS CRISTALES,C 5C Oeste No 47-12,Siloe,N/A,-76556192,3421738,LOS CRISTALES,PM,CVC,25205,2622330105,1056527.91,870803337,0,0,52,52,64,121,200,227
2,3,MM0061,10/23/2020,C 5A Oeste No 44-42,Siloe,N/A,-76.556109,3.421841,LOS CRISTALES,2622330105,MM0061,1064.98291,55.21465302,11111,Zonas urbanas continuas,ZUC,1,Riesgo alto,Kv,Formacion Volcanica,MM0061,BD_SGRED,OPERATIVO,10/23/2020 0:00,10/23/2020LOS CRISTALES,C 5A Oeste No 44-42,Siloe,N/A,-76556109,3421841,LOS CRISTALES,PM,CVC,25205,2622330105,1056527.91,870803337,0,0,52,52,64,121,200,227
3,4,MM0063,11/10/2020,Sector Quebrada Filadelfia,Andes Bajo,Los Andes,-76.582461,3.411307,LAS BRISAS,2622330106,MM0063,1098.431641,55.25925827,23170,Pasto cultivado,PCU,4,Riesgo bajo,Ql/Kv,Lateritas Formacion Volcanica,MM0063,BD_SGRED,OPERATIVO,11/10/2020 0:00,11/10/2020LAS BRISAS,Sector Quebrada Filadelfia,Andes Bajo,Los Andes,-76582461,3411307,LAS BRISAS,PM,CVC,25205,2622330106,1054315.22,868345907,0,1,1,2,44,133,217,310
4,5,MM0064,11/10/2020,V�a que de Pichinde conduce a Lomas de la Cajita,Pichinde,Pichinde,-76.613217,3.447359,PICHINDE,2622400108,MM0064,1618.704102,91.37473297,31211,Bosque mixto abierto alto de tierra firme,BNAALT,5,Amenaza alta,Kv,Formacion Volcanica,MM0064,BD_SGRED,OPERATIVO,11/10/2020 0:00,11/10/2020YANACONAS,V?a que de Pichinde conduce a Lomas de la Cajita,Pichinde,Pichinde,-76613217,3447359,YANACONAS,PG,CVC,41465,2622400108,1051712.16,871601869,0,13,13,15,40,107,208,287
5,6,MM0065,11/26/2020,Entrada a Montecitos por Arrayanes,Montebello,Montebello,-76.550649,3.488369,AGUACATAL-MONTEBELLO,2622420101,MM0065,1250.349609,27.43324471,11111,Zonas urbanas continuas,ZUC,3,Riesgo medio,Ql/Kv,Lateritas Formacion Volcanica,MM0065,BD_SGRED,OPERATIVO,11/26/2020 0:00,11/26/2020AGUACATAL-MONTEBELLO,Entrada a Montecitos por Arrayanes,Montebello,Montebello,-76550649,3488369,AGUACATAL-MONTEBELLO,PM,CVC,25210,2622420101,1058550,877405612,0,0,0,29,54,90,191,317
6,7,MM0066,11/26/2020,Avenida 47 Oeste con 9 A,Montebello,Montebello,-76.548203,3.488954,AGUACATAL-MONTEBELLO,2622420101,MM0066,1296.32373,40.94035721,11111,Zonas urbanas continuas,ZUC,4,Riesgo bajo,Ql/Kv,Lateritas Formacion Volcanica,MM0066,BD_SGRED,OPERATIVO,11/26/2020 0:00,11/26/2020AGUACATAL-MONTEBELLO,Avenida 47 Oeste con 9 A,Montebello,Montebello,-76548203,3488954,AGUACATAL-MONTEBELLO,PM,CVC,25210,2622420101,1058550,877405612,0,0,0,29,54,90,191,317
7,8,MM0070,11/12/2020,Corregimiento de los Andes -Sector Valcanes,El Cabuyal,Los Andes,-76.59536,3.43244,YANACONAS,2622410102,MM0070,1596.688965,68.89835358,31211,Bosque mixto abierto alto de tierra firme,BNAALT,7,Amenaza baja,Kv,Formacion Volcanica,MM0070,BD_SGRED,OPERATIVO,11/12/2020 0:00,11/12/2020YANACONAS,Corregimiento de los Andes -Sector Valcanes,El Cabuyal,Los Andes,-7659536,343244,YANACONAS,PM,CVC,19369,2622410102,1052861.97,871956356,0,0,13,13,50,117,202,275
8,9,MM0071,11/13/2020,Corregimiento de los Andes -Sector Valcanes,El Cabuyal,Los Andes,-76.59566,3.43217,YANACONAS,2622410102,MM0071,1600.984985,44.27614212,31211,Bosque mixto abierto alto de tierra firme,BNAALT,7,Amenaza baja,Kv,Formacion Volcanica,MM0071,BD_SGRED,OPERATIVO,11/13/2020 0:00,11/13/2020YANACONAS,Corregimiento de los Andes -Sector Valcanes,El Cabuyal,Los Andes,-7659566,343217,YANACONAS,PM,CVC,19369,2622410102,1052861.97,871956356,10,10,23,23,50,113,212,285
9,10,MM0077,11/27/2020,Corregimiento de los Andes -Sector Valcanes,El Cabuyal,Los Andes,-76.59388,3.43307,YANACONAS,2622410102,MM0077,1585.298706,98.12270355,11211,Zonas urbanas discontinuas,ZUD,4,Riesgo bajo,Kv,Formacion Volcanica,MM0077,BD_SGRED,OPERATIVO,11/27/2020 0:00,11/27/2020YANACONAS,Corregimiento de los Andes -Sector Valcanes,El Cabuyal,Los Andes,-7659388,343307,YANACONAS,PM,CVC,19369,2622410102,1052861.97,871956356,0,0,26,42,53,93,198,293
