Fecha evento,Longitud,Latitud,Elevacion,Pendiente,Direccion,Barrio,Cobertura del suelo,Zonificacion,Unidad Geologica del Suelo,P_24_Horas,P_7_Dias,P_15_Dias,P_30_Dias,P_60_Dias,P_90_Dias
10/6/2020,-76.56652,3.45609,1071.533325,18.85442352,Puente Azul,Aguacatal,Zonas urbanas continuas,Riesgo bajo,Formacion Volcanica,5.4,62.8,68.2,88.4,87.2,110
10/23/2020,-76.556192,3.421738,1066.793579,54.22733688,C 5C Oeste No 47-12,Siloe,Zonas urbanas continuas,Riesgo alto,Formacion Volcanica,0.0,52.0,64.0,121.0,200.0,227
10/23/2020,-76.556109,3.421841,1064.98291,55.21465302,C 5A Oeste No 44-42,Siloe,Zonas urbanas continuas,Riesgo alto,Formacion Volcanica,0.0,52.0,64.0,121.0,200.0,227
11/10/2020,-76.582461,3.411307,1098.431641,55.25925827,Sector Quebrada Filadelfia,Andes Bajo,Pasto cultivado,Riesgo bajo,Lateritas Formacion Volcanica,0.0,1.0,44.0,133.0,217.0,310
11/10/2020,-76.613217,3.447359,1618.704102,91.37473297,V�a que de Pichinde conduce a Lomas de la Cajita,Pichinde,Bosque mixto abierto alto de tierra firme,Amenaza alta,Formacion Volcanica,0.0,13.0,40.0,107.0,208.0,287
11/26/2020,-76.550649,3.488369,1250.349609,27.43324471,Entrada a Montecitos por Arrayanes,Montebello,Zonas urbanas continuas,Riesgo medio,Lateritas Formacion Volcanica,0.0,0.0,54.0,90.0,191.0,317
11/26/2020,-76.548203,3.488954,1296.32373,40.94035721,Avenida 47 Oeste con 9 A,Montebello,Zonas urbanas continuas,Riesgo bajo,Lateritas Formacion Volcanica,0.0,0.0,54.0,90.0,191.0,317
11/12/2020,-76.59536,3.43244,1596.688965,68.89835358,Corregimiento de los Andes -Sector Valcanes,El Cabuyal,Bosque mixto abierto alto de tierra firme,Amenaza baja,Formacion Volcanica,0.0,13.0,50.0,117.0,202.0,275
11/13/2020,-76.59566,3.43217,1600.984985,44.27614212,Corregimiento de los Andes -Sector Valcanes,El Cabuyal,Bosque mixto abierto alto de tierra firme,Amenaza baja,Formacion Volcanica,10.0,23.0,50.0,113.0,212.0,285
11/27/2020,-76.59388,3.43307,1585.298706,98.12270355,Corregimiento de los Andes -Sector Valcanes,El Cabuyal,Zonas urbanas discontinuas,Riesgo bajo,Formacion Volcanica,0.0,26.0,53.0,93.0,198.0,293
11/27/2020,-76.59696,3.43136,1657.118408,47.16747665,Corregimiento de los Andes -San Rafael,El Cabuyal,Bosque mixto abierto alto de tierra firme,Amenaza baja,Formacion Volcanica,0.0,26.0,53.0,93.0,198.0,293
11/27/2020,-76.59591,3.43068,1606.524536,34.39270782,Corregimiento de los Andes -Sector Valcanes,El Cabuyal,Zonas urbanas discontinuas,Riesgo bajo,Formacion Volcanica,0.0,26.0,53.0,93.0,198.0,293
11/27/2020,-76.59535,3.43227,1589.673096,47.11315918,Corregimiento de los Andes -Sector Valcanes,El Cabuyal,Bosque mixto abierto alto de tierra firme,Amenaza baja,Formacion Volcanica,0.0,26.0,53.0,93.0,198.0,293
1/13/2021,-76.5563,3.4282,1074.7229,61.95690536,No aplica,Belen- Siloe,Zonas urbanas continuas,Riesgo alto,Formacion Volcanica,0.0,47.0,81.0,158.0,276.0,371
1/11/2021,-76.567125,3.454949,1115.547119,69.79600525,Avenida 8 Bis Oeste con Calle 24,Alto Aguacatal,Zonas urbanas continuas,Riesgo bajo,Formacion Volcanica,0.0,2.0,2.0,58.4,155.2,244
1/23/2021,-76.54105,3.459758,1190.52356,84.40457916,Sector La Mina,Altos de Normancia,Zonas urbanas continuas,Riesgo alto,Formacion Guachinte,0.0,1.6,2.4,100.4,137.8,180
2/4/2021,-76.54561,3.46163,1230.651978,75.04990387,Sector La Mina,,Áreas naturales desnudas,Amenaza muy alta,Formacion Guachinte,0.0,0.2,6.2,42.4,102.0,140
2/8/2021,-76.5552,3.4211,1023.285339,16.9596653,C 3Oeste # 45-82,Siloe,Zonas urbanas continuas,Riesgo medio,Formacion Volcanica,20.0,20.0,59.0,84.0,203.0,321
2/16/2021,-76.564012,3.381758,1104.275879,64.85591888,C 4 D Oeste No 82 D,La Choclona,Otras superficies artificiales sin construcción,Riesgo bajo,Lateritas Formacion Volcanica,0.0,32.8,91.6,110.2,186.6,368
2/16/2021,-76.558543,3.386969,1002.814087,37.51337433,Hospital Departamental Mario Correa Rengifo,Los Chorros,Zonas urbanas continuas,Riesgo bajo,Lateritas Formacion Volcanica,0.0,32.8,91.6,110.2,186.6,368
2/18/2021,-76.567986,3.423241,1163.04895,17.59150505,K 46 Bis No 29 - 116 Oeste,Las Parecelas,Vegetación secundaria o transición,Riesgo alto,Lateritas Formacion Volcanica,0.0,53.0,149.0,174.0,332.0,399
2/22/2021,-76.5711,3.446,1095.70752,13.08166885,Pilas de Cabuyal,Pilas de Cabuyal,Zonas urbanas discontinuas,Riesgo bajo,Formacion Volcanica,12.2,14.4,100.4,101.4,110.4,177
2/22/2021,-76.567247,3.455046,1111.140137,59.7939949,Av 8 Oeste No 24 � 24,Alto Aguacatal,Zonas urbanas continuas,Riesgo bajo,Formacion Volcanica,12.2,14.4,100.4,101.4,110.4,177
2/27/2021,-76.563261,3.423066,1105.901855,43.08423614,K 46 A No 19A -170,Lleras Camargo,Vegetación secundaria o transición,Riesgo medio,Formacion Volcanica,5.0,85.0,186.0,282.0,343.0,455
2/28/2021,-76.563763,3.384495,1165.661255,34.96780777,Sector Los Tanques No3,Alto N�poles,Zonas urbanas continuas,Riesgo alto,Formacion Guachinte,15.2,52.4,104.4,188.0,204.1,382
3/2/2021,-76.6212,3.4242,1783.404297,35.72048569,Finca VillaLuz,Los andes alto,Bosque mixto abierto alto de tierra firme,Amenaza alta,Lateritas Formacion Volcanica,5.0,74.0,102.0,182.0,272.0,364
3/2/2021,-76.6275,3.4231,1908.621826,33.3497467,Km 7 v�a Cristo Rey,Pueblo Nuevo,Pasto cultivado arbolado,Amenaza alta,Formacion Volcanica,5.0,74.0,102.0,182.0,272.0,364
3/2/2021,-76.622,3.4262,1762.922119,8.18291378,Km 7 v�a Cristo Rey,Pueblo Nuevo,Bosque mixto denso alto de tierra firme,Riesgo medio,Lateritas Formacion Volcanica,5.0,74.0,102.0,182.0,272.0,364
3/2/2021,-76.6169,3.4453,1634.224243,20.92413712,Cabecera - La Cajita,Pichinde,Otros cultivos arbustivos plantados abiertos,Riesgo medio,Lateritas Formacion Volcanica,5.0,74.0,102.0,182.0,272.0,364
3/2/2021,-76.5949,3.3795,1466.376099,78.8526001,Sector Media Torta,El rosario,Zonas urbanas discontinuas,Amenaza media,Lateritas Formacion Volcanica,16.0,235.0,344.0,510.0,670.0,843
3/2/2021,-76.6274,3.4227,1921.237183,58.98408127,Cabecera,Pueblo Nuevo,Pasto cultivado arbolado,Amenaza alta,Formacion Volcanica,5.0,74.0,102.0,182.0,272.0,364
