ELEVACION,PENDIENT,zonificacion,Nomenclatura_del_Suelo,tipo_geologia,24h,7d,10d,15d,30d,60d,90d,deslizamientos
1085.033813,36.38882065,Riesgo alto,Otras superficies artificiales sin construcción,Formacion Volcanica,20.0,33.0,38.0,254.0,477.0,773.0,872.0,1
1027.715698,25.13285637,Amenaza baja,Bosque mixto denso bajo de tierra firme,Formacion Jamundi,13.0,17.0,17.0,51.0,65.0,118.0,252.0,0
1173.279907,14.10933781,Amenaza baja,Pasto cultivado enmalezado,Formacion Jamundi,0.0,7.2,21.1,23.1,128.3,292.7,599.4,0
973.211731,12.89175129,Riesgo bajo,Zonas urbanas continuas,Cono aluvial rio Melendez,0.0,17.9,22.3,41.1,70.2,249.0,363.0,0
1062.026245,9.081903458,Amenaza baja,Bosque mixto fragmentado con pastos y cultivos,Cono aluvial 1 rio Pance,0.0,48.1,88.6,163.4,304.6,533.0,722.6,0
1184.547241,27.58821106,Riesgo bajo,Zonas urbanas continuas,Formacion Volcanica,0.0,0.0,1.0,47.0,47.0,99.0,170.0,0
1046.636963,56.50341034,Riesgo bajo,Zonas urbanas continuas,Formacion Volcanica,0.0,182.0,207.0,244.0,566.0,735.0,878.0,1
1074.044434,47.1623497,Riesgo bajo,Zonas urbanas continuas,Formacion Volcanica,14.0,197.0,210.0,366.0,583.0,746.0,908.0,1
1062.793457,53.33143234,Riesgo alto,Zonas urbanas continuas,Formacion Volcanica,10.0,167.0,188.0,313.0,456.0,536.0,694.0,1
1089.27002,23.6209507,Riesgo alto,Otras superficies artificiales sin construcción,Formacion Volcanica,53.0,117.0,127.0,137.0,215.0,238.0,498.0,1
978.7866211,3.90370369,Riesgo bajo,Zonas urbanas continuas,Depositos aluviales,0.0,0.0,0.0,1.2,4.3,69.4,142.9,0
1118.248779,28.64138031,Riesgo bajo,Zonas urbanas continuas,Formacion Volcanica,36.0,151.0,176.0,321.0,418.0,593.0,710.0,1
1081.522339,13.61056805,Riesgo alto,Zonas urbanas continuas,Formacion Guachinte,7.6,83.5,110.0,213.5,343.7,452.1,531.0,1
1109.965332,42.9440155,Riesgo alto,Zonas urbanas continuas,Formacion Guachinte,7.6,83.5,110.0,213.5,343.7,452.1,531.0,1
1111.972778,15.04483128,Riesgo bajo,Zonas urbanas continuas,Formacion Volcanica,10.0,193.0,218.0,311.0,583.0,735.0,918.0,1
1013.084229,10.98899364,Riesgo alto,Zonas urbanas continuas,Formacion Volcanica,0.0,75.0,95.0,114.0,348.0,828.0,873.0,1
1004.06665,6.960438728,Amenaza baja,Pasto cultivado arbolado,Cono aluvial 2 rio Pance,0.0,0.0,0.0,0.0,25.0,118.0,163.0,0
1108.620361,80.41010284,Riesgo alto,Otras superficies artificiales sin construcción,Lateritas Formacion Volcanica,0.8,103.8,121.0,122.1,213.7,272.4,399.0,1
1634.42041,26.78633118,Riesgo bajo,Zonas urbanas continuas,Lateritas Formacion Volcanica,0.0,0.0,0.0,18.8,31.6,139.2,156.4,0
1077.534058,6.768587589,Amenaza baja,Pasto cultivado arbolado,Cono aluvial 1 rio Pance,0.0,3.3,3.3,4.3,8.2,44.2,93.4,0
1039.493896,13.04127598,Riesgo bajo,Zonas urbanas continuas,Lateritas Formacion Volcanica,0.0,32.9,32.9,47.3,110.6,381.3,494.2,0
2064.802734,34.31137466,Riesgo bajo,Pasto cultivado arbolado,Lateritas Formacion Volcanica,0.0,10.0,41.0,46.0,47.0,115.0,132.0,0
1061.743042,52.19571686,Riesgo medio,Zonas urbanas continuas,Lateritas Formacion Volcanica,7.4,42.4,73.0,183.0,304.1,386.8,463.0,1
1667.979858,35.77548218,Riesgo bajo,Zonas urbanas continuas,Lateritas Formacion Volcanica,3.0,69.8,122.2,203.0,236.8,373.2,466.0,0
1009.120605,24.5102787,Riesgo medio,Zonas urbanas continuas,Formacion Volcanica,0.0,42.0,186.0,236.0,521.0,753.0,859.0,1
1025.032593,14.77564716,Riesgo bajo,Zonas urbanas continuas,Formacion Guachinte,11.0,129.0,131.0,200.0,212.5,329.5,358.0,1
1430.759644,44.20295715,Riesgo bajo,Zonas urbanas continuas,Lateritas Formacion Volcanica,8.0,61.0,61.0,84.0,92.0,84.0,165.0,1
1102.266357,4.151127338,Amenaza baja,Pasto cultivado,Cono aluvial 1 rio Pance,0.0,0.0,0.2,31.6,54.3,282.2,437.4,0
1036.462402,9.237675667,Amenaza media,Bosque mixto denso bajo de tierra firme,Formacion Guachinte,7.6,83.5,110.0,213.5,343.7,452.1,531.0,1
1151.145508,35.04502869,Riesgo bajo,Zonas urbanas continuas,Formacion Volcanica,0.0,168.0,207.0,239.0,571.0,735.0,845.0,1
1585.298706,98.12270355,Riesgo bajo,Zonas urbanas discontinuas,Formacion Volcanica,0.0,26.0,42.0,53.0,93.0,198.0,293.0,1
1307.866089,27.47784424,Riesgo bajo,Pasto cultivado enmalezado,Lateritas Formacion Volcanica,0.0,0.0,67.0,94.0,101.0,118.0,118.0,0
1147.813477,35.50212479,Amenaza baja,Helechal,Formacion Jamundi,0.0,46.5,46.5,46.5,50.8,80.8,104.7,0
1053.939453,12.8718977,Riesgo bajo,Zonas urbanas discontinuas,Cono aluvial 1 rio Pance,0.0,4.9,11.8,25.8,28.5,76.8,267.8,0
1101.711548,63.86278915,Riesgo bajo,Zonas urbanas continuas,Lateritas Formacion Volcanica,7.5,50.4,101.0,137.5,227.5,401.8,530.0,1
1035.927246,68.7237854,Riesgo bajo,Bosque mixto denso bajo de tierra firme,Lateritas Formacion Volcanica,0.0,22.2,23.9,24.1,26.7,139.3,346.8,0
1088.012085,23.03314209,Amenaza baja,Pasto cultivado,Formacion Jamundi,0.0,0.0,0.0,3.0,26.0,240.0,401.0,0
1128.252441,21.77400589,Amenaza baja,Pasto cultivado arbolado,Formacion Ferreira,0.0,3.9,3.9,8.8,30.0,53.9,247.2,0
1176.433594,56.84809875,Riesgo alto,Zonas urbanas continuas,Formacion Guachinte,7.6,83.5,110.0,213.5,343.7,452.1,531.0,1
1060.675903,18.85739517,Amenaza baja,Pasto cultivado arbolado,Cono aluvial 1 rio Pance,1.0,1.1,1.3,3.7,23.5,100.6,326.8,0
1058.712769,70.90747833,Amenaza alta,Zonas urbanas continuas,Formacion Volcanica,0.0,39.8,104.0,141.7,228.2,526.2,800.0,1
1020.507141,26.32086754,Riesgo bajo,Otras superficies artificiales con construcción,Lateritas Formacion Volcanica,1.0,1.2,1.3,25.1,25.4,123.7,272.6,0
1079.523193,35.66748047,Amenaza baja,Bosque mixto fragmentado con vegetación natural,Formacion Jamundi,0.0,1.3,2.1,10.5,230.7,471.1,690.3,0
1032.866333,20.92349815,Riesgo bajo,Zonas urbanas continuas,Formacion Volcanica,34.0,72.0,126.0,177.0,379.0,597.0,827.0,1
986.9034424,26.8618412,Riesgo alto,Zonas urbanas continuas,Formacion Volcanica,0.4,86.0,98.0,293.0,418.0,533.6,720.0,1
1069.18457,18.36261368,Amenaza baja,Otras superficies artificiales sin construcción,Formacion Volcanica,11.0,15.0,15.0,28.0,85.0,226.0,357.0,1
978.4386597,13.12144184,Riesgo bajo,Zonas urbanas continuas,Depositos aluviales,0.0,0.0,0.1,10.7,42.9,99.2,247.7,0
